date_raw,date_parts,date_str,date_dt
01/26/2024,"['01', '26', '2024']",01-26-2024,2024-01-26
20251219,['20251219'],20251219,2025-12-19
2025-01,"['2025', '01']",2025-01,2025-01-01
2026-13-40,"['2026', '13', '40']",2026-13-40,
2024.06,"['2024', '06']",2024-06,2024-06-01
2025.10,"['2025', '10']",2025-10,2025-10-01
2024.06.05,"['2024', '06', '05']",2024-06-05,2024-06-05
20251129,['20251129'],20251129,2025-11-29
2024-06,"['2024', '06']",2024-06,2024-06-01
20260217,['20260217'],20260217,2026-02-17
2025-10,"['2025', '10']",2025-10,2025-10-01
2024년03월01일,"['2024', '03', '01']",2024-03-01,2024-03-01
2024/07/13,"['2024', '07', '13']",2024-07-13,2024-07-13
20240713,['20240713'],20240713,2024-07-13
2025-07-07,"['2025', '07', '07']",2025-07-07,2025-07-07
20260118,['20260118'],20260118,2026-01-18
2025/06/04,"['2025', '06', '04']",2025-06-04,2025-06-04
2024-07,"['2024', '07']",2024-07,2024-07-01
2024.09.28,"['2024', '09', '28']",2024-09-28,2024-09-28
2024.04.16,"['2024', '04', '16']",2024-04-16,2024-04-16
abcd,[],,
20250113,['20250113'],20250113,2025-01-13
2026.03.30,"['2026', '03', '30']",2026-03-30,2026-03-30
2026.04,"['2026', '04']",2026-04,2026-04-01
04/28/2024,"['04', '28', '2024']",04-28-2024,2024-04-28
20240102,['20240102'],20240102,2024-01-02
2025-02,"['2025', '02']",2025-02,2025-02-01
2026-03,"['2026', '03']",2026-03,2026-03-01
2025-10,"['2025', '10']",2025-10,2025-10-01
2025/12,"['2025', '12']",2025-12,2025-12-01
2024.05,"['2024', '05']",2024-05,2024-05-01
2026년02월08일,"['2026', '02', '08']",2026-02-08,2026-02-08
2025.12.11,"['2025', '12', '11']",2025-12-11,2025-12-11
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/03,"['2026', '03']",2026-03,2026-03-01
2024년12월01일,"['2024', '12', '01']",2024-12-01,2024-12-01
2026-03-10,"['2026', '03', '10']",2026-03-10,2026-03-10
2026/02/04,"['2026', '02', '04']",2026-02-04,2026-02-04
2024/11/04,"['2024', '11', '04']",2024-11-04,2024-11-04
2025.03.21,"['2025', '03', '21']",2025-03-21,2025-03-21
2025/04,"['2025', '04']",2025-04,2025-04-01
2026-02-30,"['2026', '02', '30']",2026-02-30,
2024/12,"['2024', '12']",2024-12,2024-12-01
20241010,['20241010'],20241010,2024-10-10
01/13/2024,"['01', '13', '2024']",01-13-2024,2024-01-13
2024/11/07,"['2024', '11', '07']",2024-11-07,2024-11-07
2025/09/16,"['2025', '09', '16']",2025-09-16,2025-09-16
12/24/2025,"['12', '24', '2025']",12-24-2025,2025-12-24
2024-03-14,"['2024', '03', '14']",2024-03-14,2024-03-14
2025-03,"['2025', '03']",2025-03,2025-03-01
2024.10.11,"['2024', '10', '11']",2024-10-11,2024-10-11
2025-07-17,"['2025', '07', '17']",2025-07-17,2025-07-17
2025.05,"['2025', '05']",2025-05,2025-05-01
abcd,[],,
2025년01월27일,"['2025', '01', '27']",2025-01-27,2025-01-27
2025.08,"['2025', '08']",2025-08,2025-08-01
2025-02-24,"['2025', '02', '24']",2025-02-24,2025-02-24
2025-08,"['2025', '08']",2025-08,2025-08-01
2024-09,"['2024', '09']",2024-09,2024-09-01
08/28/2024,"['08', '28', '2024']",08-28-2024,2024-08-28
2025/06,"['2025', '06']",2025-06,2025-06-01
2026.04,"['2026', '04']",2026-04,2026-04-01
2024년04월19일,"['2024', '04', '19']",2024-04-19,2024-04-19
2024-08,"['2024', '08']",2024-08,2024-08-01
2024/05/14,"['2024', '05', '14']",2024-05-14,2024-05-14
2024-10,"['2024', '10']",2024-10,2024-10-01
2025-04,"['2025', '04']",2025-04,2025-04-01
04/20/2025,"['04', '20', '2025']",04-20-2025,2025-04-20
2026.01.30,"['2026', '01', '30']",2026-01-30,2026-01-30
2025-10,"['2025', '10']",2025-10,2025-10-01
2024.09.06,"['2024', '09', '06']",2024-09-06,2024-09-06
07/07/2025,"['07', '07', '2025']",07-07-2025,2025-07-07
2024/05,"['2024', '05']",2024-05,2024-05-01
abcd,[],,
2025-07,"['2025', '07']",2025-07,2025-07-01
2025-02,"['2025', '02']",2025-02,2025-02-01
2026-02,"['2026', '02']",2026-02,2026-02-01
20240416,['20240416'],20240416,2024-04-16
12/20/2025,"['12', '20', '2025']",12-20-2025,2025-12-20
2024-06,"['2024', '06']",2024-06,2024-06-01
2024년10월06일,"['2024', '10', '06']",2024-10-06,2024-10-06
2025-09-05,"['2025', '09', '05']",2025-09-05,2025-09-05
2025-11,"['2025', '11']",2025-11,2025-11-01
2025.09,"['2025', '09']",2025-09,2025-09-01
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/02/16,"['2026', '02', '16']",2026-02-16,2026-02-16
abcd,[],,
2025-07-21,"['2025', '07', '21']",2025-07-21,2025-07-21
2026-02-30,"['2026', '02', '30']",2026-02-30,
