date_raw,type_raw,category_raw,amount_raw,content,date_parts,date_str,date_dt,year,month,type_str,type_map,category_str,category_map,amount_parts,amount_str,amount_num
2025.06.23,기타,gift,"9,999",쿠팡,"['2025', '06', '23']",2025-06-23,2025-06-23,2025.0,6.0,기타,기타,gift,gift,"['9', '999']",9999,9999.0
2025년 4월 15일,기타,shopping,-7000,배달,"['2025', '4', '15']",2025-4-15,2025-04-15,2025.0,4.0,기타,기타,shopping,쇼핑,['7000'],7000,7000.0
2025/02/12,unknown,gift,"5,000",용돈,"['2025', '02', '12']",2025-02-12,2025-02-12,2025.0,2.0,unknown,unknown,gift,gift,"['5', '000']",5000,5000.0
2025/06/18,unknown,SHOPPING,1000,환불,"['2025', '06', '18']",2025-06-18,2025-06-18,2025.0,6.0,unknown,unknown,shopping,쇼핑,['1000'],1000,1000.0
2025-02-14,unknown,gift,"10,000원",교재구매,"['2025', '02', '14']",2025-02-14,2025-02-14,2025.0,2.0,unknown,unknown,gift,gift,"['10', '000']",10000,10000.0
2025년 3월 11일,unknown,식비,3만원,마트,"['2025', '3', '11']",2025-3-11,2025-03-11,2025.0,3.0,unknown,unknown,식비,식비,['3'],3,30000.0
2025/04/13,unknown,gift,12 000,배달,"['2025', '04', '13']",2025-04-13,2025-04-13,2025.0,4.0,unknown,unknown,gift,gift,"['12', '000']",12000,12000.0
2025/02/06,unknown,food,"10,000원",테스트,"['2025', '02', '06']",2025-02-06,2025-02-06,2025.0,2.0,unknown,unknown,food,식비,"['10', '000']",10000,10000.0
2025--05--01,refund ,bonus,문자,카페,"['2025', '05', '01']",2025-05-01,2025-05-01,2025.0,5.0,refund,수입,bonus,급여,[],,
2025년 3월 2일,기타,카페,1000,환불,"['2025', '3', '2']",2025-3-2,2025-03-02,2025.0,3.0,기타,기타,카페,카페,['1000'],1000,1000.0
2025.01.10,income,쇼핑,문자,카페,"['2025', '01', '10']",2025-01-10,2025-01-10,2025.0,1.0,income,수입,쇼핑,쇼핑,[],,
2025년 6월 17일,unknown,급여,-7000,메모없음,"['2025', '6', '17']",2025-6-17,2025-06-17,2025.0,6.0,unknown,unknown,급여,급여,['7000'],7000,7000.0
2025.02.26,기타,cafe,"00,500",쿠팡,"['2025', '02', '26']",2025-02-26,2025-02-26,2025.0,2.0,기타,기타,cafe,카페,"['00', '500']",00500,500.0
2025년 3월 3일,unknown,salary,문자,용돈,"['2025', '3', '3']",2025-3-3,2025-03-03,2025.0,3.0,unknown,unknown,salary,급여,[],,
2025-03-22,기타,교통,12 000,출장,"['2025', '03', '22']",2025-03-22,2025-03-22,2025.0,3.0,기타,기타,교통,교통,"['12', '000']",12000,12000.0
2025.04.17,기타,food,"1,250원",출장,"['2025', '04', '17']",2025-04-17,2025-04-17,2025.0,4.0,기타,기타,food,식비,"['1', '250']",1250,1250.0
2025-04-21,기타,transport,--3000,쿠팡,"['2025', '04', '21']",2025-04-21,2025-04-21,2025.0,4.0,기타,기타,transport,교통,['3000'],3000,3000.0
2025년 6월 9일,unknown,카페,"5,000",점심,"['2025', '6', '9']",2025-6-9,2025-06-09,2025.0,6.0,unknown,unknown,카페,카페,"['5', '000']",5000,5000.0
2025년 4월 12일,unknown,travel,"00,500",용돈,"['2025', '4', '12']",2025-4-12,2025-04-12,2025.0,4.0,unknown,unknown,travel,travel,"['00', '500']",00500,500.0
4월 31일,expense,식비,--3000,선물,"['4', '31']",4-31,,,,expense,지출,식비,식비,['3000'],3000,3000.0
2025-01-30,unknown,shopping,"1,250원",택시,"['2025', '01', '30']",2025-01-30,2025-01-30,2025.0,1.0,unknown,unknown,shopping,쇼핑,"['1', '250']",1250,1250.0
2025/01/01,기타,쇼핑,0,  ,"['2025', '01', '01']",2025-01-01,2025-01-01,2025.0,1.0,기타,기타,쇼핑,쇼핑,['0'],0,0.0
2025/04/19,unknown,cafe,문자,메모없음,"['2025', '04', '19']",2025-04-19,2025-04-19,2025.0,4.0,unknown,unknown,cafe,카페,[],,
0000-00-00,지출,gift,"00,500",테스트,"['0000', '00', '00']",0000-00-00,,,,지출,지출,gift,gift,"['00', '500']",00500,500.0
2025-06-18,기타,salary,3만원,카페,"['2025', '06', '18']",2025-06-18,2025-06-18,2025.0,6.0,기타,기타,salary,급여,['3'],3,30000.0
2025.03.19,기타,unknown,"10,000원",테스트,"['2025', '03', '19']",2025-03-19,2025-03-19,2025.0,3.0,기타,기타,unknown,unknown,"['10', '000']",10000,10000.0
