date_raw,date_parts,date_str,date_dt
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
abcd,[],,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
,,,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
,,,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/99/99,"['2026', '99', '99']",2026-99-99,
abcd,[],,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
,,,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
abcd,[],,
2026/99/99,"['2026', '99', '99']",2026-99-99,
abcd,[],,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
31/31/2026,"['31', '31', '2026']",31-31-2026,
31/31/2026,"['31', '31', '2026']",31-31-2026,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-13-40,"['2026', '13', '40']",2026-13-40,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
,,,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
31/31/2026,"['31', '31', '2026']",31-31-2026,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026/99/99,"['2026', '99', '99']",2026-99-99,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/99/99,"['2026', '99', '99']",2026-99-99,
abcd,[],,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
31/31/2026,"['31', '31', '2026']",31-31-2026,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
,,,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
abcd,[],,
abcd,[],,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
abcd,[],,
abcd,[],,
,,,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
31/31/2026,"['31', '31', '2026']",31-31-2026,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
abcd,[],,
abcd,[],,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026/99/99,"['2026', '99', '99']",2026-99-99,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
abcd,[],,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
abcd,[],,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
,,,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
2026-02-30,"['2026', '02', '30']",2026-02-30,
2026/99/99,"['2026', '99', '99']",2026-99-99,
,,,
2026-13-40,"['2026', '13', '40']",2026-13-40,
abcd,[],,
31/31/2026,"['31', '31', '2026']",31-31-2026,
2026-02-30,"['2026', '02', '30']",2026-02-30,
,,,
