date,type,category,amount,content
01/26/2024,refund,pet,,점심 #9
20251219,용돈,travel,109000,여행 준비
2025-01,expense,pet,142000,기념일
2026-13-40, Expense ,,94원,친구 만남 카드
2024.06,수입,shopping!!,-,여행 준비 환불건
2025.10,refund,uber,150천원,게임 결제
2024.06.05,출금,pay,약 65만,not_available
20251129,지출,Salary, 225 ,월급 카드
2024-06,expense, salary ,-213원,친구 만남 환불건
20260217,buy,subway123,약 109만,출장 확인필요
2025-10,used,Cafe,59만 원,
2024년03월01일,income,,139원,게임 결제 환불건
2024/07/13,allowance,pay,약 만원,병원
20240713,출금,Salary,12..3,
2025-07-07,incomee,study,103.2,온라인 주문 urgent
20260118,used,mall,139원,게임 결제 카드
2025/06/04, Expense ,present,146000,수업 memo
2024-07,allowance,congrats,240원,월급 카드
2024.09.28,unknown, water bill ,181000,점심 urgent
2024.04.16, Income ,,88000,게임 결제
abcd,expense,trip,190천원,월급
20250113,refund,shopping, 64 ,수업 #3
2026.03.30,expense,fashion,208000,병원 환불건
2026.04,bonus,present,약 18만,병원 memo
04/28/2024,salary,gas,112만 원,출장
20240102,수 익,present,약 만원,월급 카드
2025-02,salary,dessert,192.9,점심 urgent
2026-03,used,fuel,189원,
2025-10,bonus, coffee ,abc123,월세 현금
2025/12,payment,gift,227원,월세 카드
2024.05,용돈,train,-157원,월세 환불건
2026년02월08일,spend,vet, 20 ,친구 만남
2025.12.11, Expense ,mart,108천원,점심 환불건
2026/99/99,allowance,hobby,155.7,점심 memo
2026/03,used,pet,170원,월세
2024년12월01일,지출,concert,-65원,저녁 #6
2026-03-10,payment, eatout ,172원,온라인 주문
2026/02/04,buy,hospital,약 233만,친구 만남
2024/11/04,expense,monthly pay,88원,수업 환불건
2025.03.21,spend,fuel,152000,친구 만남 환불건
2025/04,용돈,study!!,88000,점심 #9
2026-02-30,수입,netflix,십만원,마트 장보기 환불건
2024/12,수 익,, 31 ,교통비 #4
20241010, Expense ,utility,182만 원,마트 장보기 환불건
01/13/2024,used,lunch,211원,저녁
2024/11/07,unknown,income bonus,199만 원,수업 현금
2025/09/16,??, Shopping ,20원,게임 결제
12/24/2025,used,starbucks,-170원,카페 urgent
2024-03-14,salary,vacation, 120 ,게임 결제
2025-03,expense,birthday gift,약 만원,교통비 카드
2024.10.11,,salary, 83 ,게임 결제 확인필요
2025-07-17,지출,snack, 1 ,출장 memo
2025.05,payment,starbucks,32원,교통비 카드
abcd, Income , FOOD , 131 ,게임 결제 환불건
2025년01월27일,수 익,,107000,점심 urgent
2025.08,used,clothes,약 117만,카페 #7
2025-02-24,용돈,netflix,약 167만,not_available
2025-08,used,salary,약 168만,
2024-09,출금,hotel,약 98만,게임 결제
08/28/2024,expnse,Food,232원,기념일 확인필요
2025/06,buy,eatout,62천원,온라인 주문 urgent
2026.04,expnse,groceries,77만 원,마트 장보기 확인필요
2024년04월19일,payback,CONGRATS,102000,저녁 urgent
2024-08,bonus,present,166원,not_available
2024/05/14,other, course ,249천원,교통비 환불건
2024-10,used,course,약 102만,병원 urgent
2025-04,spend,tour,무료,여행 준비
04/20/2025, Expense ,lunch,무료,월세 카드
2026.01.30, Expense ,vet,177천원,기념일 memo
2025-10,salary, groceries ,164만 원,
2024.09.06,payment,vacation!!,223000,점심
07/07/2025, Expense , FOOD ,61만 원,
2024/05, Expense ,hotel,12..3,마트 장보기
abcd,출금,monthly pay,,환불 현금
2025-07,입금,income bonus,,출장 환불건
2025-02,출금,dinner,약 96만,친구 만남
2026-02,expense,train, 224 ,저녁 현금
20240416,용돈,dinner,196000,점심
12/20/2025,other,trip,-37원,출장 확인필요
2024-06,payback,pet,194만 원,수업 현금
2024년10월06일, Expense ,lunch, 135 ,
2025-09-05,salary,,abc123,병원 #9
2025-11,income,salary,147천원,병원 memo
2025.09,지출,travel123,135원,카페
2026-02-30,수입,hotel,-166원,출장 현금
2026/02/16,용돈,fuel,165만 원,여행 준비 환불건
abcd,spend,Shopping,15천원,친구 만남 확인필요
2025-07-21,payment, income bonus ,,친구 만남
2026-02-30,used,subway,100천원,여행 준비 memo
2026-02-30,salary,dog food,37.4,병원 현금
03/27/2024,지출,pet,93원,여행 준비 #8
2024.05.20, Income ,transport,159원,교통비
2025년11월23일,수 익,event gift!!,-248원,기념일 환불건
2026/03,출금, lecture ,165천원,월급
2024.10,??,clinic,239원,
2024/08,other,Shopping,203원,
2025.04.28,used,FOOD,39만 원,월급 #5
2024년02월18일,입금,groceries,12..3,마트 장보기
2024/09, Income ,Shopping,약 202만,게임 결제 확인필요
2024-09-16, Income ,gift,86원,교통비 환불건
2026.04.10,용돈,cafe,약 81만,게임 결제
07/14/2024,income, water bill ,228천원,여행 준비 환불건
20250111, Income ,medical,140000,마트 장보기 환불건
2025.03.12,지출,congrats,약 164만,병원 카드
2025.11.26,??, movie ,166천원,환불 memo
2026/02/20,지출,congrats123,??,월급 urgent
08/07/2024,used,Cafe,약 114만,여행 준비
10/24/2024,buy, dog food ,36000,기념일 카드
2024/03/29,용돈,flight,-,기념일 카드
2024.07.05,expense,dog food, 240 ,마트 장보기 urgent
07/18/2025,salary,restaurant,149원,여행 준비
2026-02-30,spend,vacation,128.8,게임 결제 확인필요
2024-03-15,allowance,latte,184000,병원 memo
2024-04, Income ,  coffee  ,99.6,교통비 현금
2024.07.13,used,MART,130천원,저녁 urgent
2025.10,income,game,196천원,
,수입,income bonus,약 212만,월급 memo
20241213,incomee,gas,??,월세 현금
2024-05,other,uber,131만 원,점심 memo
03/02/2025,expense,mall,44만 원,병원 #3
2026-02-30,income,Salary,-129원,저녁 카드
2024.11,지출,hobby,198.4,카페 카드
10/31/2024,used,,140천원,환불
2026/01/01,용돈,event gift!!,약 70만,카페
2025년06월27일,expense, mart ,약 2만,게임 결제 #8
2024-10,income,clinic,240원,교통비 확인필요
07/09/2024,expense,bus,약 117만,환불 환불건
2026/04/08,용돈,PRESENT,76만 원,병원 카드
2025/02/14,refund,cafe123,193000,점심 memo
2024/03/04,buy,uber,241000,환불
2025-09,수입,dog food,153.1,기념일 현금
20260428,??, coffee , 30 ,월세 환불건
2025.03,used,shopping,191000,
2025/12/18,expense,MEDICAL,197원,수업 확인필요
2025/01,수입, hotel ,101만 원,점심 urgent
20260106,출금,study,240.1,
2025-09-21, Income ,groceries,13000,
2025년07월06일,expense,mall,82만 원,카페
2025년06월17일,salary,subway,127원,병원 memo
2025.02.22,refund,game,182원,수업 카드
2025년02월01일,payback, bonus ,49원,저녁 #2
20250824,bonus,water bill,무료,게임 결제 현금
2025년02월10일,spend,train,226천원,
2025-04,other,eatout,5000,수업
2024/08,payment,congrats123, 248 ,기념일
2025.05.15,수 익,hospital,약 만원,
2026-13-40,payment,cafe!!,16만 원,게임 결제
,income,ONLINE SHOPPING,173천원,월급
20250926,payback,salary,145000,친구 만남
20250121,expense,medical,85만 원,저녁 #4
2025.12, Income ,shopping,약 5만,병원 urgent
2024/09,지출,present,21만 원,수업
2026/02,other,mart,241천원,병원 현금
2024/09/09,refund, tour ,93원,
01/03/2025, Income ,income bonus,7원,여행 준비
2025/02/01,payment,dessert,69천원,
03/07/2025, Expense ,bakery,28원,
2025/09,지출,monthly pay,83만 원,교통비 memo
2025.12,incomee,bonus,약 30만,교통비
2025년04월17일,spend,medical,78000,병원 환불건
2025/05,출금,hotel,153만 원,
2025-11,입금,event gift,204천원,
20250606,payment,pay,129원,마트 장보기
2026.01.17,payback,bakery,abc123,월급 memo
2025.11.24,expnse, coffee ,119000,수업
2024.07,출금,,204원,교통비 memo
04/26/2024,used,congrats,151원,교통비 현금
2025.11.19,bonus,latte,108만 원,게임 결제
05/16/2025,payback,pet,125원,게임 결제 환불건
2025.03,입금,,138000,게임 결제 카드
04/26/2024,지출,travel,약 56만,카페
2024/12/22, Expense ,course,90.9,환불 #4
2025-08,buy,,220만 원,환불
2025.11.02,buy,congrats,174천원,수업 환불건
31/31/2026, Expense ,congrats,약 117만,not_available
2026/01/20,used,congrats,102000,온라인 주문 urgent
2025.08.14,used, hospital ,118원,월세 확인필요
2025.12.06,spend,Shopping, 96 ,마트 장보기 확인필요
2025/12/21,용돈,taxi, 3 ,수업 환불건
abcd, Income , online shopping ,193.2,
2025.09.16,payment,dessert,56원,병원 확인필요
2024년05월23일, Income ,uber,218.4,출장 urgent
2026년03월13일, Expense ,BIRTHDAY GIFT,약 4만,수업 카드
2026.02,incomee,BUS,237원,수업 확인필요
,buy,Shopping,207원,친구 만남 확인필요
2024-09-01,allowance,transport,190원,
2024.01.12,지출,tour123,-192원,점심 확인필요
03/06/2024, Expense ,TRAIN,43천원,월급 카드
31/31/2026,payment,fashion,246.8,수업 memo
2026-01, Income ,restaurant,무료,병원 환불건
03/03/2026,수입,,190만 원,게임 결제 카드
2024.09.08,allowance,train,약 3만,
01/25/2026,수입,netflix, 37 ,
2025/06,지출,gift,-164원,
2025.03.21,salary,concert,약 20만,월급
2025-04,수입,trip,219원,저녁 memo
2025년12월29일,,congrats123,약 8만,카페 환불건
2026.03.23,income,course,176만 원,온라인 주문
2024.07, Expense ,RENT,약 44만,게임 결제 확인필요
2024-06,refund,SALARY, 63 ,게임 결제
2024/05,수입,vacation, 201 ,기념일 memo
2024-07-03,bonus,HOTEL,136000,교통비 #2
20240929,expense,lecture,약 91만,카페 memo
2024-01,수 익,bakery,10원,게임 결제 memo
2024.07.25,refund,RENT,235원,기념일 memo
2025/11,지출, coffee ,약 164만,기념일 현금
01/22/2025,spend,gift,101.9,
2026년04월08일, Expense ,tuition,82원,여행 준비
2024/09/12, Income ,medical,43.7,병원 환불건
2025년08월14일, Income ,PHARMACY,27원,친구 만남
2025.09,출금,lecture,26000,온라인 주문 urgent
2024/02,used,shopping,170만 원,출장 urgent
2025/04/29,allowance, congrats ,48천원,저녁 환불건
08/19/2024,buy,hospital,약 106만,병원 확인필요
2025.12,payment,snack,129만 원,환불 환불건
2024년06월20일,buy,snack!!,-38원,친구 만남 확인필요
2025-07,used, medical ,146만 원,월급 urgent
2024/12,용돈,salary,159만 원,not_available
2024년12월05일,용돈,rent,80000,월급
2026.01,지출,income bonus,55.6,기념일 카드
03/08/2024,출금,vacation,무료,저녁
2025년01월04일,용돈,gift,126만 원,기념일
2024/09/21,allowance,vacation, 57 ,수업
2026-02-24,buy,transport!!,242000,수업 memo
2024.08,수입, hobby ,약 170만,마트 장보기
12/10/2024,spend,congrats,62.9,환불 환불건
2024/09,income,taxi,176만 원,기념일 urgent
20251104, Income ,congrats,234000,친구 만남 memo
2024/11,지출,uber,not_available,친구 만남 #8
2025/11,출금, trip ,약 105만,환불
2025-05,buy,food,199원,친구 만남 현금
2025/03,used,restaurant,4.8,카페 memo
2024/04,spend,,187만 원,환불 환불건
2024.07.11,incomee,coffee,188원,저녁 urgent
2025-09-30,expense,GIFT,abc123,게임 결제 #3
2025-10-07, Income ,shop, 131 ,월급 #8
03/07/2026,payment,bonus,234000,점심
2025.08, Income ,hospital,약 117만,월급
2025-01, Expense ,TRAVEL,166원,온라인 주문 memo
2024/07/06,용돈,monthly pay,167.2,저녁
2025.08,used,bonus,-226원,게임 결제 확인필요
03/05/2024,expense,dog food,87만 원,수업 환불건
2025/11,수입,PET,130.7,게임 결제 #6
2024-10-11,출금,Cafe,115원,게임 결제
20240206, Expense ,cat snack, 168 ,저녁 환불건
2026.02,지출,hospital,88000,기념일
2025.05.19,출금,taxi,101000,여행 준비 확인필요
2026-02-30, Expense ,netflix,약 35만,
2025/07,used,lecture,27천원,병원 현금
2026년02월19일,payback, game ,-227원,여행 준비 #9
10/01/2025,buy,lecture,182원,수업 urgent
2025-03-08,expense,food,약 42만,저녁 #5
2024-02, Expense ,birthday gift,144천원,마트 장보기 확인필요
2026-03,unknown,mall,223천원,기념일 현금
2026년01월12일,refund,clinic,31천원,환불 현금
2024-01,buy,shopping, 216 ,기념일 memo
20240707,수입, gas , 55 ,게임 결제
2024.12,입금,book,-235원,마트 장보기 카드
20250118,used,mall,,점심 #2
2026년03월03일,출금,lecture,-190원,환불 환불건
2024/02/08,refund,pet,67천원,여행 준비 확인필요
2025-07-01, Expense ,pet,12..3,마트 장보기 urgent
2025/03,income, taxi ,205.4,기념일 카드
2024/05/24,입금,bus, 232 ,환불
2024년09월15일,입금,vet,약 만원,
2026-02-30,지출, present ,231000,마트 장보기 현금
2026-04,??,coffee,71.2,게임 결제 환불건
2024.11,buy,lunch,138000,친구 만남 카드
2026/04,payment,cat snack, 121 ,마트 장보기 환불건
2024/04,income,vacation,36천원,환불 memo
31/31/2026, Expense ,cafe,203천원,저녁 memo
06/17/2025,spend,subway, 151 ,병원 카드
2026-04,used,clinic, 132 ,기념일 #2
2024/12/04,used,subway,63원,저녁
20240703,수 익,pharmacy,약 156만,수업 현금
20240705,payback,pet!!,28원,수업 현금
abcd,수 익,vacation,abc123,점심 카드
20240214,used,concert,-195원,온라인 주문 #8
03/26/2024,출금,food,not_available,여행 준비 memo
03/12/2025,수입,online shopping,53천원,기념일 카드
2024-11,출금,clinic,42원,저녁 확인필요
2024/01/06,used,MOVIE,21만 원,병원 urgent
2025-09-03,incomee,PAY,-239원,not_available
2025년06월12일,expense,gift,십만원,병원 현금
2024/01/16,수 익,vacation,-247원,월세 현금
2026-13-40, Income ,uber,12..3,온라인 주문 확인필요
2026년02월27일,used,transport,98만 원,카페 확인필요
20250612,salary,snack,20만 원,출장
2025년11월30일,payment,starbucks!!,-64원,월급 환불건
20260221,incomee,train,230만 원,온라인 주문 #7
2024-05-11,출금,transport,-176원,월세
2026-13-40, Income ,uber,69천원,게임 결제 #7
2026-02,allowance, coffee ,209원,수업 #7
2026.01.26,expense,Salary,133만 원,온라인 주문 현금
not_available,expense,mart,-,온라인 주문
2024년12월25일,buy,water bill, 199 ,마트 장보기
2025-10,출금,hospital, 82 ,병원 환불건
20250106,, travel ,약 65만,교통비
abcd,expense, pet , 22 ,카페 환불건
20240514,expense,clothes,223만 원,교통비 현금
20251017,payback,Cafe,67원,
2026.02.15,용돈,event gift,-3원,점심 memo
2025/07,refund,netflix!!,약 만원,온라인 주문 카드
2025년02월26일,buy,groceries,160천원,점심
2024.05,payment,groceries!!,-202원,저녁
2024-05-29,allowance,Salary,210천원,
2026년01월01일,용돈,meal, 134 ,마트 장보기
20240213,spend,mall,약 만원,수업
2024/10/09,bonus,eatout,153원,게임 결제 현금
2026-02-16,refund,clinic,-143원,월세
2025.01.01,income,,49만 원,월세 현금
2025.07.21,refund,hotel,199만 원,점심 현금
2026/01/08,출금,event gift,73000,친구 만남
2024년02월02일,bonus,gas,180만 원,
2026/01/05,bonus,travel,93만 원,기념일 현금
2024/02/11, Expense , pet ,99000,교통비 카드
2024-04,출금,course,169원,기념일 카드
2024-11,allowance,internet123,-97원,월세 확인필요
not_available,수 익,STARBUCKS,55.0,온라인 주문 카드
2025.08.08,용돈,starbucks,60000,출장 memo
2024.06, Expense ,shopping,-21원,수업
2024-08-20,출금,transport,84만 원,병원 현금
2024년04월02일,출금,Shopping,141천원,
2026.03.03,used,pay,약 158만,온라인 주문 memo
2025/08/12,allowance,mall,-7원,월세 환불건
31/31/2026,payback, gift ,3천원쯤,마트 장보기 memo
04/23/2024,expense,birthday gift!!,193000,환불 확인필요
20251110,refund,STARBUCKS,3원,기념일
2025/10,allowance,gift,153만 원,월세
,용돈,cafe,161000,온라인 주문 urgent
2026-04-14,other,fashion,"1,2,3",카페 #7
03/12/2025,other,coffee,-176원,환불
2025.08.01,수입,gift, 38 ,수업 urgent
04/21/2026,bonus,cafe,69만 원,카페 memo
31/31/2026,used,utility,36원,점심 확인필요
2025년11월18일, Expense ,income bonus,118.6,not_available
2025-01,입금,transport,212.3,저녁 확인필요
2025-10-07,용돈,online shopping,157.8,월세 카드
20260308,allowance, FOOD ,230000,교통비
2025-04,allowance,dog food,197원,환불
2025-12-30,salary,concert,??,not_available
2024.01,used,eatout, 151 ,점심 카드
20251005,payment,cafe,not_available,마트 장보기
abcd,??,subway,약 93만,
2025/01,출금,pharmacy,221000,출장
20251006,,cat snack,67만 원,환불 카드
2025.05,payment, book ,204원,수업
2025년07월27일,bonus,Shopping,-83원,병원
2024.12,incomee, bakery ,222만 원,수업 카드
2026-01,expense,congrats,91원,여행 준비 카드
2025/08, Income ,water bill,23천원,마트 장보기 카드
