date,type,category,amount,content
2025-12-19,수입,여행,109000.0,여행 준비
2025-01-01,지출,pet,142000.0,기념일
2025-10-01,수입,uber,150000.0,게임 결제
2025-11-29,지출,급여,225.0,월급 카드
2024-06-01,지출,급여,213.0,친구 만남 환불건
2026-02-17,지출,subway123,1090000.0,출장 확인필요
2026-01-18,지출,mall,139.0,게임 결제 카드
2025-06-04,지출,present,146000.0,수업 memo
2024-07-01,수입,congrats,240.0,월급 카드
2025-01-13,수입,쇼핑,64.0,수업 #3
2026-03-30,지출,fashion,208000.0,병원 환불건
2026-04-01,수입,present,180000.0,병원 memo
2024-04-28,수입,gas,1120000.0,출장
2025-02-01,수입,dessert,1929.0,점심 urgent
2025-10-01,수입,coffee,123.0,월세 현금
2025-12-01,지출,선물,227.0,월세 카드
2024-05-01,수입,train,157.0,월세 환불건
2026-02-08,지출,vet,20.0,친구 만남
2025-12-11,지출,mart,108000.0,점심 환불건
2026-03-01,지출,pet,170.0,월세
2024-12-01,지출,concert,65.0,저녁 #6
2026-03-10,지출,eatout,172.0,온라인 주문
2026-02-04,지출,hospital,2330000.0,친구 만남
2024-11-04,지출,monthlypay,88.0,수업 환불건
2025-03-21,지출,fuel,152000.0,친구 만남 환불건
2025-04-01,수입,study!!,88000.0,점심 #9
2024-10-10,지출,utility,1820000.0,마트 장보기 환불건
2024-01-13,지출,lunch,211.0,저녁
2025-12-24,지출,starbucks,170.0,카페 urgent
2024-03-14,수입,vacation,120.0,게임 결제
2025-07-17,지출,snack,1.0,출장 memo
2025-05-01,지출,starbucks,32.0,교통비 카드
2025-08-01,지출,clothes,1170000.0,카페 #7
2024-09-01,지출,hotel,980000.0,게임 결제
2025-06-01,지출,eatout,62000.0,온라인 주문 urgent
2024-04-19,수입,congrats,102000.0,저녁 urgent
2024-05-14,지출,course,249000.0,교통비 환불건
2024-10-01,지출,course,1020000.0,병원 urgent
2026-01-30,지출,vet,177000.0,기념일 memo
2024-09-06,지출,vacation!!,223000.0,점심
2024-05-01,지출,hotel,123.0,마트 장보기
2025-02-01,지출,dinner,960000.0,친구 만남
2026-02-01,지출,train,224.0,저녁 현금
2024-04-16,수입,dinner,196000.0,점심
2025-12-20,지출,trip,37.0,출장 확인필요
2024-06-01,수입,pet,1940000.0,수업 현금
2025-11-01,수입,급여,147000.0,병원 memo
2025-09-01,지출,travel123,135.0,카페
2026-02-16,수입,fuel,1650000.0,여행 준비 환불건
2024-03-27,지출,pet,93.0,여행 준비 #8
2024-05-20,수입,교통,159.0,교통비
2025-11-23,수입,eventgift!!,248.0,기념일 환불건
2026-03-01,지출,lecture,165000.0,월급
2025-04-28,지출,식비,390000.0,월급 #5
2024-02-18,수입,groceries,123.0,마트 장보기
2024-09-01,수입,쇼핑,2020000.0,게임 결제 확인필요
2024-09-16,수입,선물,86.0,교통비 환불건
2026-04-10,수입,카페,810000.0,게임 결제
2024-07-14,수입,waterbill,228000.0,여행 준비 환불건
2025-01-11,수입,medical,140000.0,마트 장보기 환불건
2025-03-12,지출,congrats,1640000.0,병원 카드
2024-08-07,지출,카페,1140000.0,여행 준비
2024-10-24,지출,dogfood,36000.0,기념일 카드
2024-07-05,지출,dogfood,240.0,마트 장보기 urgent
2025-07-18,수입,restaurant,149.0,여행 준비
2024-03-15,수입,latte,184000.0,병원 memo
2024-04-01,수입,coffee,996.0,교통비 현금
2024-07-13,지출,mart,130000.0,저녁 urgent
2024-05-01,지출,uber,1310000.0,점심 memo
2025-03-02,지출,mall,440000.0,병원 #3
2024-11-01,지출,hobby,1984.0,카페 카드
2026-01-01,수입,eventgift!!,700000.0,카페
2025-06-27,지출,mart,20000.0,게임 결제 #8
2024-10-01,수입,clinic,240.0,교통비 확인필요
2024-07-09,지출,bus,1170000.0,환불 환불건
2026-04-08,수입,present,760000.0,병원 카드
2025-02-14,수입,cafe123,193000.0,점심 memo
2024-03-04,지출,uber,241000.0,환불
2025-09-01,수입,dogfood,1531.0,기념일 현금
2025-12-18,지출,medical,197.0,수업 확인필요
2025-01-01,수입,hotel,1010000.0,점심 urgent
2025-07-06,지출,mall,820000.0,카페
2025-06-17,수입,subway,127.0,병원 memo
2025-02-22,수입,game,182.0,수업 카드
2025-02-01,수입,급여,49.0,저녁 #2
2025-04-01,지출,eatout,5000.0,수업
2024-08-01,지출,congrats123,248.0,기념일
2025-09-26,수입,급여,145000.0,친구 만남
2025-01-21,지출,medical,850000.0,저녁 #4
2025-12-01,수입,쇼핑,50000.0,병원 urgent
2024-09-01,지출,present,210000.0,수업
2026-02-01,지출,mart,241000.0,병원 현금
2025-01-03,수입,incomebonus,7.0,여행 준비
2025-09-01,지출,monthlypay,830000.0,교통비 memo
2025-04-17,지출,medical,78000.0,병원 환불건
2025-06-06,지출,pay,129.0,마트 장보기
2026-01-17,수입,bakery,123.0,월급 memo
2024-04-26,지출,congrats,151.0,교통비 현금
2025-11-19,수입,latte,1080000.0,게임 결제
2025-05-16,수입,pet,125.0,게임 결제 환불건
2024-04-26,지출,여행,560000.0,카페
2024-12-22,지출,course,909.0,환불 #4
2025-11-02,지출,congrats,174000.0,수업 환불건
2026-01-20,지출,congrats,102000.0,온라인 주문 urgent
2025-08-14,지출,hospital,118.0,월세 확인필요
2025-12-06,지출,쇼핑,96.0,마트 장보기 확인필요
2025-12-21,수입,taxi,3.0,수업 환불건
2025-09-16,지출,dessert,56.0,병원 확인필요
2024-05-23,수입,uber,2184.0,출장 urgent
2026-03-13,지출,birthdaygift,40000.0,수업 카드
2024-01-12,지출,tour123,192.0,점심 확인필요
2024-03-06,지출,train,43000.0,월급 카드
2025-03-21,수입,concert,200000.0,월급
2025-04-01,수입,trip,219.0,저녁 memo
2026-03-23,수입,course,1760000.0,온라인 주문
2024-07-01,지출,rent,440000.0,게임 결제 확인필요
2024-06-01,수입,급여,63.0,게임 결제
2024-05-01,수입,vacation,201.0,기념일 memo
2024-07-03,수입,hotel,136000.0,교통비 #2
2024-09-29,지출,lecture,910000.0,카페 memo
2024-01-01,수입,bakery,10.0,게임 결제 memo
2024-07-25,수입,rent,235.0,기념일 memo
2025-11-01,지출,coffee,1640000.0,기념일 현금
2026-04-08,지출,tuition,82.0,여행 준비
2024-09-12,수입,medical,437.0,병원 환불건
2025-08-14,수입,pharmacy,27.0,친구 만남
2025-09-01,지출,lecture,26000.0,온라인 주문 urgent
2024-02-01,지출,쇼핑,1700000.0,출장 urgent
2025-04-29,수입,congrats,48000.0,저녁 환불건
2024-08-19,지출,hospital,1060000.0,병원 확인필요
2025-12-01,지출,snack,1290000.0,환불 환불건
2024-06-20,지출,snack!!,38.0,친구 만남 확인필요
2025-07-01,지출,medical,1460000.0,월급 urgent
2024-12-05,수입,rent,80000.0,월급
2026-01-01,지출,incomebonus,556.0,기념일 카드
2025-01-04,수입,선물,1260000.0,기념일
2024-09-21,수입,vacation,57.0,수업
2026-02-24,지출,transport!!,242000.0,수업 memo
2024-08-01,수입,hobby,1700000.0,마트 장보기
2024-12-10,지출,congrats,629.0,환불 환불건
2024-09-01,수입,taxi,1760000.0,기념일 urgent
2025-11-04,수입,congrats,234000.0,친구 만남 memo
2025-11-01,지출,trip,1050000.0,환불
2025-05-01,지출,식비,199.0,친구 만남 현금
2025-03-01,지출,restaurant,48.0,카페 memo
2025-09-30,지출,선물,123.0,게임 결제 #3
2025-10-07,수입,shop,131.0,월급 #8
2026-03-07,지출,급여,234000.0,점심
2025-08-01,수입,hospital,1170000.0,월급
2025-01-01,지출,여행,166.0,온라인 주문 memo
2024-07-06,수입,monthlypay,1672.0,저녁
2025-08-01,지출,급여,226.0,게임 결제 확인필요
2024-03-05,지출,dogfood,870000.0,수업 환불건
2025-11-01,수입,pet,1307.0,게임 결제 #6
2024-10-11,지출,카페,115.0,게임 결제
2024-02-06,지출,catsnack,168.0,저녁 환불건
2026-02-01,지출,hospital,88000.0,기념일
2025-05-19,지출,taxi,101000.0,여행 준비 확인필요
2025-07-01,지출,lecture,27000.0,병원 현금
2026-02-19,수입,game,227.0,여행 준비 #9
2025-10-01,지출,lecture,182.0,수업 urgent
2025-03-08,지출,식비,420000.0,저녁 #5
2024-02-01,지출,birthdaygift,144000.0,마트 장보기 확인필요
2026-01-12,수입,clinic,31000.0,환불 현금
2024-01-01,지출,쇼핑,216.0,기념일 memo
2024-07-07,수입,gas,55.0,게임 결제
2024-12-01,수입,book,235.0,마트 장보기 카드
2026-03-03,지출,lecture,190.0,환불 환불건
2024-02-08,수입,pet,67000.0,여행 준비 확인필요
2025-07-01,지출,pet,123.0,마트 장보기 urgent
2025-03-01,수입,taxi,2054.0,기념일 카드
2024-05-24,수입,bus,232.0,환불
2024-11-01,지출,lunch,138000.0,친구 만남 카드
2026-04-01,지출,catsnack,121.0,마트 장보기 환불건
2024-04-01,수입,vacation,36000.0,환불 memo
2025-06-17,지출,subway,151.0,병원 카드
2026-04-01,지출,clinic,132.0,기념일 #2
2024-12-04,지출,subway,63.0,저녁
2024-07-03,수입,pharmacy,1560000.0,수업 현금
2024-07-05,수입,pet!!,28.0,수업 현금
2024-02-14,지출,concert,195.0,온라인 주문 #8
2025-03-12,수입,onlineshopping,53000.0,기념일 카드
2024-11-01,지출,clinic,42.0,저녁 확인필요
2024-01-06,지출,movie,210000.0,병원 urgent
2024-01-16,수입,vacation,247.0,월세 현금
2026-02-27,지출,교통,980000.0,카페 확인필요
2025-06-12,수입,snack,200000.0,출장
2025-11-30,지출,starbucks!!,64.0,월급 환불건
2024-05-11,지출,교통,176.0,월세
2026-02-01,수입,coffee,209.0,수업 #7
2026-01-26,지출,급여,1330000.0,온라인 주문 현금
2024-12-25,지출,waterbill,199.0,마트 장보기
2025-10-01,지출,hospital,82.0,병원 환불건
2024-05-14,지출,clothes,2230000.0,교통비 현금
